t_ms,avg_bpm,last_bpm,beats,ir,finger
36131,0,0.0,0,6278,0
37136,0,0.0,0,10287,0
38139,0,0.0,0,7242,0
39143,0,0.0,0,7039,0
40148,0,0.0,0,6920,0
41150,0,0.0,0,7320,0
42154,0,0.0,1,6004,0
43158,0,0.0,1,4298,0
44163,0,0.0,0,2341,0
45166,0,0.0,0,557,0
46171,0,0.0,0,584,0
47173,0,0.0,0,536,0
48177,0,0.0,0,576,0
49181,0,0.0,0,530,0
50185,0,0.0,0,549,0
51189,0,0.0,0,569,0
52194,0,0.0,0,534,0
53198,0,0.0,0,592,0
54202,0,0.0,0,518,0
55205,0,0.0,0,523,0
56208,0,0.0,0,570,0
57213,0,0.0,0,544,0
58217,0,0.0,0,617,0
59221,0,0.0,0,516,0
60224,0,0.0,0,554,0
61228,0,0.0,0,585,0
62232,0,0.0,1,568,0
63236,0,0.0,0,623,0
64239,0,0.0,0,532,0
65243,0,0.0,0,558,0
66247,0,0.0,0,566,0
67251,0,0.0,1,559,0
68255,0,0.0,0,632,0
69258,0,0.0,0,539,0
70262,0,0.0,0,577,0
71266,0,0.0,0,577,0
72270,0,0.0,0,2048,0
73273,0,0.0,0,29667,0
74277,0,0.0,0,51552,1
75281,0,0.0,0,86158,1
76286,0,0.0,0,46491,0
77288,0,0.0,0,50394,1
78292,0,0.0,0,65665,1
79296,0,0.0,0,67919,1
80300,0,4.3,1,75777,1
81304,0,4.3,0,65451,1
82307,0,0.0,0,43331,0
83312,0,0.0,0,50828,1
84315,0,0.0,0,64910,1
85320,0,0.0,0,85876,1
86324,0,0.0,0,72324,1
87327,0,0.0,0,40593,0
88330,0,0.0,0,769,0
89334,0,0.0,0,779,0
90339,0,0.0,0,765,0
91343,0,0.0,0,770,0
92346,0,0.0,0,762,0
93350,0,0.0,0,762,0
94354,0,0.0,0,764,0
95357,0,0.0,0,768,0
96362,0,0.0,0,764,0
97366,0,0.0,0,767,0
98369,0,0.0,0,768,0
99373,0,0.0,0,762,0
100377,0,0.0,0,767,0
101380,0,0.0,0,774,0
102384,0,0.0,0,770,0
