recv_ts,t_ms,avg_bpm,last_bpm,beats,ir,finger
2026-07-23T21:09:40,1781330,68,1.2,0,140443,1
2026-07-23T21:09:40,1784344,68,1.2,0,139968,1
2026-07-23T21:09:40,1787358,68,1.2,0,133068,1
2026-07-23T21:09:40,1790372,68,3.9,1,134977,1
2026-07-23T21:09:40,1793385,68,3.9,0,134088,1
2026-07-23T21:09:40,1796399,68,7.3,1,137998,1
2026-07-23T21:09:40,1799414,65,36.9,2,138271,1
2026-07-23T21:09:40,1802427,46,64.9,3,138398,1
2026-07-23T21:09:40,1805441,85,93.2,2,137351,1
2026-07-23T21:09:40,1808456,85,93.2,0,138832,1
2026-07-23T21:09:40,1811469,85,93.2,0,140413,1
2026-07-23T21:09:40,1814484,85,93.2,0,132073,1
2026-07-23T21:09:40,1817496,85,4.5,1,139617,1
2026-07-23T21:09:40,1820510,88,69.4,1,138140,1
2026-07-23T21:09:40,1823525,88,69.4,0,139614,1
2026-07-23T21:09:40,1826538,83,43.9,2,135184,1
2026-07-23T21:09:40,1829552,56,22.8,1,137072,1
2026-07-23T21:09:40,1832567,70,142.2,3,138126,1
2026-07-23T21:09:40,1835580,70,142.2,0,138004,1
2026-07-23T21:09:40,1838594,70,9.2,1,137881,1
2026-07-23T21:09:40,1841607,70,9.2,0,135368,1
2026-07-23T21:09:40,1844621,70,9.2,0,130897,1
2026-07-23T21:09:40,1847636,70,9.2,0,132309,1
2026-07-23T21:09:40,1850649,70,9.2,0,140155,1
2026-07-23T21:09:40,1853663,70,9.2,0,137752,1
2026-07-23T21:09:40,1856676,70,9.2,0,137560,1
2026-07-23T21:09:40,1859691,70,2.9,1,135810,1
2026-07-23T21:09:40,1862703,72,27.9,1,132748,1
2026-07-23T21:09:40,1865718,72,14.9,1,136355,1
2026-07-23T21:09:40,1868731,72,14.9,0,137733,1
2026-07-23T21:09:40,1871746,72,10.2,1,136139,1
2026-07-23T21:09:40,1874760,65,22.8,1,135396,1
2026-07-23T21:09:41,1877774,65,22.8,0,140288,1
2026-07-23T21:09:41,1880787,65,8.5,1,139629,1
2026-07-23T21:09:41,1883802,44,54.3,3,140051,1
2026-07-23T21:09:41,1886814,61,60.9,2,139584,1
2026-07-23T21:09:41,1889829,77,74.6,4,140004,1
2026-07-23T21:09:41,1892842,75,26.2,1,139985,1
2026-07-23T21:09:41,1895857,44,55.4,2,139923,1
2026-07-23T21:09:41,1898871,59,44.6,3,139741,1
2026-07-23T21:09:41,1901884,53,32.8,1,140034,1
2026-07-23T21:09:41,1904899,53,32.8,0,138757,1
2026-07-23T21:09:41,1907911,53,10.7,1,136894,1
2026-07-23T21:09:41,1910925,53,10.7,0,139709,1
2026-07-23T21:09:41,1913939,53,10.7,0,138913,1
2026-07-23T21:09:41,1916954,53,10.7,0,138387,1
2026-07-23T21:09:41,1919967,103,85.2,5,138768,1
2026-07-23T21:09:41,1922981,102,35.1,2,139104,1
