t_s,bpm_avg,bpm_last,beats,ir,ambient_c,object_c,finger
0.0,,,,713,22.4,21.6,0
1.0,,,,710,22.4,22.0,0
2.0,,,,2881,22.4,23.6,0
3.0,0,0,0,106896,22.4,38.9,1
4.0,0,0,0,128497,22.9,55.0,1
5.0,0,0,0,127894,23.5,53.7,1
6.0,0,0,0,127424,23.9,51.6,1
7.0,0,0,0,127405,24.3,49.8,1
8.0,0,9,1,127529,24.6,48.6,1
9.0,19,79,1,127178,24.9,47.6,1
10.0,31,47,1,127044,25.2,46.8,1
11.0,31,47,0,127069,25.4,46.0,1
12.0,63,93,2,127089,25.6,45.4,1
13.0,62,75,1,126892,25.8,44.8,1
14.0,65,60,1,126539,25.9,44.3,1
15.0,75,75,1,126491,26.1,43.9,1
16.0,78,111,2,126824,26.2,43.6,1
17.0,78,111,0,126358,26.4,43.3,1
18.0,78,111,0,126017,26.5,43.0,1
19.0,68,23,1,125968,26.6,42.7,1
20.0,68,23,0,125754,26.7,42.5,1
21.0,56,26,1,125487,26.8,42.2,1
22.0,56,26,0,125082,26.9,42.0,1
23.0,56,26,0,124992,26.9,41.7,1
24.0,45,24,1,124514,27.1,41.6,1
25.0,26,35,1,124167,27.2,41.4,1
26.0,44,93,1,124534,27.3,41.2,1
27.0,44,93,0,124147,27.3,41.1,1
28.0,44,27,1,124225,27.4,41.0,1
29.0,52,55,1,123984,27.5,40.8,1
30.0,68,100,1,124162,27.5,40.7,1
31.0,68,93,1,123867,27.6,40.6,1
32.0,69,31,1,123624,27.6,40.6,1
33.0,69,31,0,123811,27.7,40.5,1
34.0,66,43,1,123872,27.8,40.5,1
35.0,51,38,1,123725,27.8,40.4,1
36.0,51,38,0,123809,27.9,40.3,1
37.0,38,45,1,123913,27.9,40.2,1
38.0,44,55,1,123663,28.0,40.1,1
39.0,49,62,1,124024,28.1,40.0,1
40.0,60,83,1,124160,28.1,40.0,1
41.0,60,83,0,123960,28.1,40.0,1
42.0,56,26,1,124037,28.2,39.8,1
43.0,65,73,2,123827,28.3,39.8,1
44.0,63,75,1,123588,28.3,39.6,1
45.0,76,77,1,123679,28.4,39.6,1
46.0,78,91,1,123367,28.4,39.6,1
47.0,70,40,1,123378,28.4,39.5,1
48.0,70,75,1,123462,28.5,39.4,1
49.0,67,85,2,123677,28.5,39.4,1
50.0,73,64,1,123302,28.5,39.3,1
51.0,73,73,1,123183,28.6,39.3,1
52.0,80,110,2,123445,28.6,39.3,1
53.0,81,67,1,123456,28.6,39.3,1
54.0,78,62,1,123234,28.6,39.3,1
55.0,93,136,1,123479,28.7,39.3,1
56.0,85,79,1,126262,28.8,39.1,1
57.0,85,79,0,125529,28.8,39.0,1
58.0,85,79,0,125378,28.8,39.0,1
59.0,85,79,0,125325,28.8,39.1,1
60.0,85,14,1,124835,28.8,39.0,1
61.0,78,40,1,124776,28.8,39.0,1
62.0,78,40,0,124494,28.8,39.0,1
63.0,78,40,0,124208,28.9,38.9,1
64.0,78,40,0,123752,28.9,38.8,1
65.0,78,15,1,123761,28.9,38.8,1
66.0,77,60,1,123829,29.0,38.7,1
67.0,70,107,1,123882,29.0,38.7,1
68.0,78,88,2,124485,29.0,38.6,1
69.0,81,71,1,124356,29.0,38.5,1
70.0,68,56,1,124722,29.0,38.5,1
71.0,68,56,0,124584,29.0,38.4,1
72.0,61,79,2,124439,29.0,38.5,1
73.0,64,83,1,124226,29.1,38.4,1
74.0,68,73,1,124261,29.1,38.5,1
75.0,80,83,2,124386,29.1,38.4,1
76.0,80,83,0,124001,29.1,38.4,1
77.0,80,83,0,123849,29.2,38.3,1
78.0,69,83,2,123848,29.1,38.3,1
79.0,68,81,1,123789,29.2,38.2,1
80.0,84,81,2,124049,29.2,38.2,1
81.0,77,59,1,123999,29.2,38.1,1
82.0,74,67,1,124020,29.2,38.0,1
83.0,77,106,1,124195,29.2,38.0,1
84.0,74,68,1,124280,29.2,38.0,1
85.0,74,68,0,124584,29.2,37.8,1
86.0,74,68,0,125146,29.3,37.7,1
87.0,74,68,0,124873,29.2,37.6,1
88.0,74,68,0,124806,29.2,37.5,1
89.0,74,12,1,124421,29.3,37.5,1
90.0,74,12,0,123917,29.3,37.4,1
91.0,74,12,0,123275,29.3,37.4,1
92.0,74,12,0,123411,29.3,37.4,1
93.0,74,15,1,124005,29.3,37.3,1
94.0,70,42,1,123893,29.2,37.3,1
95.0,70,42,0,123582,29.3,37.3,1
96.0,64,120,2,124066,29.3,37.2,1
97.0,64,120,0,123504,29.3,37.2,1
98.0,64,120,0,122769,29.3,37.2,1
99.0,0,0,0,121882,29.3,36.9,1
100.0,0,0,0,120949,29.2,37.6,1
101.0,0,0,0,118910,29.3,37.5,1
102.0,0,0,0,119447,29.3,37.5,1
103.0,0,0,0,121077,29.3,37.5,1
104.0,0,0,0,121164,29.3,37.5,1
105.0,0,0,0,122650,29.3,37.4,1
106.0,0,0,0,122493,29.3,37.4,1
107.0,0,6,1,122526,29.3,37.3,1
108.0,70,90,1,122879,29.3,37.2,1
109.0,72,49,1,122903,29.3,37.1,1
110.0,84,79,1,122794,29.3,37.1,1
111.0,84,79,0,122435,29.3,37.1,1
112.0,60,25,1,122675,29.3,37.0,1
113.0,56,75,1,123235,29.3,37.0,1
114.0,56,75,0,123152,29.3,37.0,1
115.0,52,32,1,122862,29.3,37.0,1
116.0,43,43,1,122811,29.3,37.0,1
117.0,55,73,1,122821,29.3,36.9,1
118.0,50,55,1,122940,29.3,37.0,1
119.0,72,66,2,123051,29.3,36.9,1
120.0,72,73,1,122883,29.3,36.9,1
121.0,81,91,1,123176,29.3,36.8,1
122.0,81,91,0,123205,29.3,36.8,1
123.0,66,36,1,123305,29.3,36.7,1
124.0,58,36,1,122808,29.3,36.8,1
125.0,61,83,1,123030,29.3,36.8,1
126.0,65,106,1,123022,29.4,36.8,1
127.0,70,56,1,123160,29.4,36.8,1
