t_ms,avg_bpm,last_bpm,beats,ir,finger
2310,0,0.0,0,105429,1
3313,0,0.0,0,105622,1
4317,0,0.0,0,104962,1
5320,0,0.0,0,105311,1
6325,0,0.0,1,105615,1
7327,0,0.0,0,104724,1
8332,6,25.8,1,104496,1
9335,6,25.8,0,104459,1
10339,14,32.8,1,105219,1
11342,40,106.6,1,103824,1
12347,52,45.3,1,104727,1
13349,61,62.4,1,104876,1
14354,61,62.4,0,104444,1
15357,61,62.4,0,104842,1
16360,61,16.8,1,104427,1
17364,88,142.2,1,105237,1
18368,83,83.1,1,105334,1
19371,83,83.1,0,104802,1
20375,79,29.3,1,104378,1
21379,71,32.2,1,104411,1
22383,71,32.2,0,104462,1
23386,46,44.0,1,104221,1
24389,40,57.5,1,104947,1
25393,52,78.5,1,104473,1
26397,60,65.1,1,104580,1
27401,59,36.9,1,104556,1
28404,61,65.0,1,104514,1
29408,61,65.0,0,104887,1
30412,61,65.0,0,104479,1
31415,46,21.7,1,104641,1
32419,41,42.7,1,104669,1
33422,60,115.2,1,104956,1
34427,74,66.5,2,105143,1
35429,74,66.5,0,105104,1
36434,75,43.3,1,105654,1
37437,65,78.6,1,105172,1
38440,60,56.3,1,104626,1
39444,56,48.2,1,104679,1
40447,56,48.2,0,105216,1
41452,54,76.7,2,104985,1
42455,54,58.5,1,104514,1
43458,54,58.5,0,104808,1
44463,50,34.0,1,104603,1
45466,56,59.8,1,104195,1
46470,55,72.8,1,104469,1
47472,55,72.8,0,104150,1
48476,49,32.2,1,104645,1
49481,49,32.2,0,104710,1
50483,49,32.2,0,103968,1
51488,49,19.2,1,104128,1
52492,56,63.7,1,104196,1
53495,56,60.9,1,104258,1
54499,56,60.9,0,104004,1
55502,46,29.0,1,104454,1
56506,49,45.3,1,104126,1
57509,49,45.3,0,104272,1
58513,49,45.3,0,104208,1
59516,49,45.3,0,104518,1
60520,49,45.3,0,104941,1
61524,49,13.4,1,104315,1
62528,45,48.2,1,104219,1
63530,45,61.0,1,104126,1
64534,0,0.0,1,124619,1
65538,0,0.0,0,116681,1
66541,0,0.0,0,7987,0
67546,0,0.0,0,8322,0
68548,0,0.0,0,8599,0
69553,0,0.0,0,9095,0
70556,0,0.0,0,15545,0
71560,0,0.0,0,25281,0
72564,0,0.0,0,17252,0
73567,0,0.0,0,16343,0
74571,0,0.0,0,10634,0
75573,0,0.0,0,2028,0
76577,0,0.0,0,1352,0
77580,0,0.0,0,1193,0
78584,0,0.0,0,4051,0
79587,0,0.0,0,7983,0
80592,0,0.0,0,103582,1
81596,0,0.0,0,81956,1
82598,0,0.0,0,110027,1
83602,0,0.0,0,203915,1
84607,0,0.0,0,13260,0
85609,0,0.0,0,764,0
86614,0,0.0,0,2262,0
87617,0,0.0,0,1770,0
88620,0,0.0,0,1768,0
89625,0,0.0,1,3700,0
90628,0,0.0,0,1079,0
91632,0,0.0,0,1606,0
92635,0,0.0,1,890,0
93638,0,0.0,0,937,0
94643,0,0.0,0,575,0
95645,0,0.0,0,589,0
96649,0,0.0,1,575,0
97652,0,0.0,0,576,0
98657,0,0.0,0,569,0
99660,0,0.0,0,583,0
100663,0,0.0,0,576,0
101667,0,0.0,0,583,0
102672,0,0.0,0,569,0
103674,0,0.0,0,584,0
104678,0,0.0,0,570,0
105683,0,0.0,0,577,0
106686,0,0.0,0,579,0
107690,0,0.0,0,576,0
108694,0,0.0,0,564,0
109697,0,0.0,0,585,0
110701,0,0.0,0,580,0
111703,0,0.0,0,577,0
112708,0,0.0,0,568,0
113711,0,0.0,0,578,0
114715,0,0.0,0,558,0
115718,0,0.0,0,567,0
116723,0,0.0,2,557,0
117725,0,0.0,1,572,0
118730,0,0.0,0,569,0
119733,0,0.0,0,567,0
120736,0,0.0,0,564,0
121739,0,0.0,0,572,0
122743,0,0.0,0,558,0
123748,0,0.0,0,560,0
124750,0,0.0,0,565,0
125755,0,0.0,0,564,0
126757,0,0.0,0,564,0
127761,0,0.0,0,561,0
128765,0,0.0,0,568,0
129768,0,0.0,0,574,0
130773,0,0.0,0,562,0
131775,0,0.0,0,564,0
132779,0,0.0,0,563,0
133784,0,0.0,0,564,0
134787,0,0.0,0,570,0
135791,0,0.0,0,566,0
136794,0,0.0,0,570,0
137797,0,0.0,0,568,0
138801,0,0.0,0,562,0
139806,0,0.0,0,559,0
140808,0,0.0,0,565,0
141813,0,0.0,0,565,0
142816,0,0.0,0,573,0
143819,0,0.0,0,558,0
144822,0,0.0,0,566,0
145827,0,0.0,0,568,0
146830,0,0.0,0,562,0
147833,0,0.0,0,563,0
148837,0,0.0,0,559,0
149841,0,0.0,0,563,0
150844,0,0.0,0,574,0
151849,0,0.0,0,559,0
152851,0,0.0,0,556,0
153855,0,0.0,0,563,0
154860,0,0.0,0,560,0
155862,0,0.0,0,567,0
156867,0,0.0,0,568,0
157870,0,0.0,0,565,0
158873,0,0.0,0,564,0
159877,0,0.0,0,560,0
160882,0,0.0,0,563,0
161884,0,0.0,0,559,0
162889,0,0.0,0,560,0
163893,0,0.0,0,558,0
164896,0,0.0,0,561,0
165900,0,0.0,0,566,0
166903,0,0.0,0,565,0
167906,0,0.0,0,561,0
168911,0,0.0,0,561,0
169914,0,0.0,0,563,0
170918,0,0.0,0,571,0
171922,0,0.0,0,541,0
172924,0,0.0,0,576,0
173929,0,0.0,0,554,0
174931,0,0.0,0,579,0
175936,0,0.0,0,563,0
176939,0,0.0,0,573,0
177943,0,0.0,0,553,0
178947,0,0.0,0,563,0
179950,0,0.0,0,561,0
180954,0,0.0,0,562,0
181958,0,0.0,0,553,0
182960,0,0.0,0,569,0
183964,0,0.0,0,727,0
184969,0,0.0,1,678,0
185971,0,0.0,1,929,0
186976,0,0.0,0,714,0
187978,0,0.0,0,657,0
188983,0,0.0,0,6479,0
189986,0,0.0,0,3715,0
190990,0,0.0,0,6949,0
191992,0,0.0,0,113766,1
192997,0,0.0,0,913,0
194001,0,0.0,1,94589,1
195004,0,0.0,0,87352,1
196008,0,0.0,0,683,0
197011,0,0.0,0,1459,0
198015,0,0.0,0,5143,0
199019,0,0.0,0,4969,0
200021,0,0.0,0,4222,0
201026,0,0.0,0,4654,0
202030,0,0.0,0,3610,0
203032,0,0.0,0,10320,0
204036,0,0.0,0,106559,1
205040,0,0.0,0,104860,1
206043,0,0.0,0,105206,1
207048,0,0.0,0,88323,1
208050,0,0.0,0,80093,1
209054,0,0.0,0,117567,1
210059,0,0.0,1,1996,0
211062,0,0.0,0,1801,0
212066,0,0.0,0,14958,0
213070,0,0.0,0,4239,0
214073,0,0.0,0,55485,1
215076,0,0.0,0,26924,0
216080,0,0.0,0,1357,0
217084,0,0.0,0,2499,0
218087,0,0.0,0,1740,0
219092,0,0.0,0,1616,0
220094,0,0.0,0,20938,0
221098,0,0.0,0,2250,0
222102,0,0.0,0,45986,0
223106,0,0.0,0,4658,0
224109,0,0.0,0,10301,0
225113,0,0.0,0,1435,0
226117,0,0.0,0,750,0
227121,0,0.0,0,1567,0
228125,0,0.0,0,7319,0
229128,0,0.0,0,45350,0
230131,0,0.0,0,8709,0
231135,0,0.0,0,1514,0
232138,0,0.0,0,707,0
233142,0,0.0,0,767,0
234146,0,0.0,1,983,0
235149,0,0.0,0,13936,0
236154,0,0.0,0,12709,0
237158,0,0.0,0,38453,0
238160,0,0.0,0,64272,1
239164,0,0.0,0,66055,1
2209,0,0.0,0,578,0
3213,0,0.0,0,575,0
4217,0,0.0,0,574,0
5219,0,0.0,0,564,0
6224,0,0.0,0,582,0
7228,0,0.0,0,580,0
8231,0,0.0,0,585,0
9235,0,0.0,0,582,0
10240,0,0.0,0,569,0
