t_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.000,-0.0198,-0.1012,1.0148,-0.55,-0.49,0.37
0.019,-0.0211,-0.0986,1.0105,-0.55,-0.37,0.3
0.039,-0.0197,-0.1008,1.0101,-0.73,-0.43,0.3
0.059,-0.0193,-0.1003,1.009,-0.55,-0.43,0.37
0.079,-0.0182,-0.0994,1.0085,-0.55,-0.43,0.37
0.099,-0.0189,-0.099,1.0095,-0.49,-0.3,0.3
0.119,-0.0191,-0.0999,1.007,-0.67,-0.49,0.3
0.139,-0.0185,-0.1012,1.0121,-0.61,-0.43,0.37
0.159,-0.0203,-0.1031,1.0104,-0.55,-0.55,0.3
0.179,-0.0201,-0.1006,1.0084,-0.61,-0.37,0.37
0.199,-0.0197,-0.0986,1.0117,-0.55,-0.49,0.37
0.219,-0.0207,-0.0997,1.0119,-0.55,-0.43,0.3
0.239,-0.0209,-0.1024,1.0088,-0.61,-0.43,0.43
0.259,-0.019,-0.1,1.0092,-0.49,-0.43,0.37
0.279,-0.0169,-0.0995,1.0082,-0.49,-0.43,0.37
0.299,-0.0167,-0.0977,1.0089,-0.55,-0.37,0.37
0.319,-0.0192,-0.1004,1.0106,-0.67,-0.49,0.37
0.339,-0.0186,-0.1,1.0078,-0.55,-0.37,0.37
0.359,-0.0184,-0.0991,1.0115,-0.55,-0.49,0.3
0.379,-0.0198,-0.101,1.008,-0.61,-0.43,0.37
0.399,-0.0192,-0.0999,1.0128,-0.61,-0.43,0.24
0.419,-0.02,-0.1013,1.0103,-0.55,-0.49,0.37
0.439,-0.0196,-0.1011,1.0083,-0.55,-0.49,0.43
0.459,-0.0196,-0.0995,1.0115,-0.61,-0.43,0.43
0.479,-0.017,-0.1002,1.0061,-0.55,-0.37,0.37
0.499,-0.017,-0.0983,1.0111,-0.55,-0.43,0.37
0.519,-0.0184,-0.0999,1.0086,-0.67,-0.43,0.37
0.539,-0.0192,-0.1011,1.0098,-0.61,-0.43,0.37
0.559,-0.0197,-0.0984,1.0083,-0.61,-0.43,0.43
0.579,-0.0203,-0.1004,1.0086,-0.55,-0.49,0.3
0.599,-0.0195,-0.1,1.0121,-0.55,-0.43,0.37
0.619,-0.0192,-0.1014,1.0078,-0.61,-0.43,0.3
0.639,-0.0209,-0.101,1.0098,-0.61,-0.43,0.43
0.659,-0.0186,-0.0986,1.0114,-0.55,-0.43,0.43
0.679,-0.0185,-0.0997,1.0111,-0.49,-0.43,0.37
0.699,-0.0193,-0.0995,1.0068,-0.67,-0.37,0.43
0.719,-0.0198,-0.1005,1.0115,-0.61,-0.43,0.43
0.739,-0.019,-0.0997,1.0106,-0.49,-0.43,0.37
0.759,-0.019,-0.1022,1.0101,-0.61,-0.43,0.37
0.779,-0.019,-0.0999,1.0094,-0.61,-0.43,0.37
0.799,-0.0169,-0.1002,1.0128,-0.49,-0.37,0.37
0.819,-0.0172,-0.1044,1.0086,-0.61,-0.43,0.37
0.839,-0.0179,-0.1001,1.0103,-0.55,-0.37,0.37
0.859,-0.021,-0.0983,1.0101,-0.61,-0.49,0.3
0.879,-0.0187,-0.0989,1.0089,-0.61,-0.49,0.3
0.899,-0.0192,-0.1005,1.0086,-0.61,-0.49,0.37
0.919,-0.0188,-0.101,1.012,-0.67,-0.49,0.3
0.939,-0.0189,-0.1008,1.0093,-0.61,-0.49,0.24
0.959,-0.0185,-0.0994,1.0081,-0.61,-0.43,0.3
0.979,-0.0192,-0.1006,1.0117,-0.55,-0.43,0.37
0.999,-0.0189,-0.1016,1.0156,-0.61,-0.49,0.3
1.019,-0.0187,-0.1017,1.0081,-0.61,-0.37,0.43
1.039,-0.0198,-0.1012,1.0084,-0.49,-0.37,0.37
1.059,-0.0173,-0.1017,1.0096,-0.55,-0.43,0.43
1.079,-0.011,-0.1011,1.0165,0.3,0.67,0.18
1.099,-0.0142,-0.1,1.0109,2.01,3.41,0.3
1.119,-0.0255,-0.095,1.0042,0.12,0.61,-0.06
1.139,-0.0168,-0.0977,1.012,-0.98,-1.34,0.06
1.159,-0.0213,-0.0975,0.9947,-0.12,0.3,0.12
1.179,-0.0221,-0.106,1.0577,-1.16,-0.12,-0.24
1.199,-0.0239,-0.092,1.0159,-0.61,-0.55,0.06
1.219,-0.0165,-0.1035,1.0043,-0.98,-1.16,0.24
1.239,-0.0227,-0.0971,1.011,-0.49,-0.79,0.37
1.259,-0.0206,-0.1005,1.0101,-1.22,-0.91,0.3
1.279,-0.016,-0.1031,1.014,-0.49,0.12,0.3
1.299,-0.0212,-0.0991,1.0115,0.73,1.52,0.12
1.319,-0.0032,-0.1068,1.0257,0.43,0.43,-0.3
1.339,0.0087,-0.101,1.0114,5.49,7.07,-7.44
1.359,-0.0144,-0.1028,0.9987,3.11,0.49,-32.74
1.379,-0.0887,-0.0848,1.0346,-1.04,-2.5,-11.1
1.399,-0.0637,-0.0817,1.0154,5.73,1.22,12.8
1.419,-0.1465,-0.0119,1.0081,7.26,-12.93,27.26
1.439,0.0601,-0.0002,1.0117,9.94,-5.85,32.32
1.459,-0.006,0.0358,1.1342,28.29,8.72,2.26
1.479,-0.0016,-0.2527,1.1641,44.88,16.59,2.2
1.499,-0.0322,-0.009,1.0916,63.11,37.13,-0.85
1.519,-0.0883,-0.0942,1.1647,55.0,39.82,-7.01
1.539,0.0281,-0.0002,1.4066,-1.22,29.57,1.71
1.559,-0.0271,0.1487,1.3669,-48.72,0.43,6.22
1.579,-0.0515,0.0447,1.3479,-65.06,-26.04,4.27
1.599,-0.0416,0.0058,1.2338,-58.66,-19.63,1.89
1.619,-0.032,-0.0717,1.2276,-61.89,11.46,4.45
1.639,-0.0107,-0.1135,1.1692,-61.95,14.02,7.38
1.659,-0.0378,-0.1641,1.1025,-65.06,-6.34,16.4
1.679,-0.0897,-0.215,1.0549,-57.07,-24.51,23.23
1.699,-0.0754,-0.2047,1.1089,-42.2,-24.09,27.74
1.719,-0.0465,-0.1802,1.097,-32.87,-8.48,24.09
1.739,-0.0814,-0.1788,1.1332,-32.32,14.15,23.11
1.759,-0.1223,-0.1753,1.0515,-40.06,27.62,21.04
1.779,-0.1288,-0.2264,1.025,-37.74,44.94,20.55
1.799,-0.1729,-0.2443,1.0022,-36.1,43.48,16.22
1.819,-0.1183,-0.2506,0.871,-48.41,43.6,11.52
1.839,-0.1545,-0.3091,0.8911,-33.84,57.56,13.35
1.859,-0.1938,-0.289,0.9002,-16.77,56.04,11.04
1.879,-0.1591,-0.3128,0.9269,-19.7,54.57,5.67
1.899,-0.1951,-0.312,0.9053,-23.78,60.91,11.89
1.919,-0.2302,-0.2372,0.912,-22.8,52.99,20.12
1.939,-0.2581,-0.2596,1.0048,-9.7,35.24,15.49
1.959,-0.2128,-0.2499,1.1255,3.9,21.4,11.59
1.979,-0.2602,-0.2238,1.0358,-17.32,16.95,11.28
1.999,-0.2725,-0.2496,0.8853,-43.29,36.95,1.46
2.019,-0.2851,-0.3043,0.8652,-29.45,59.94,-13.48
2.039,-0.2652,-0.3004,0.8576,-6.04,68.96,-12.68
2.059,-0.2523,-0.3206,0.9154,4.21,50.18,-5.73
2.079,-0.3412,-0.3247,0.8621,-0.61,18.48,6.77
2.099,-0.3777,-0.369,0.7687,-10.85,9.7,10.37
2.119,-0.439,-0.3525,0.8203,3.41,7.99,5.79
2.139,-0.492,-0.3391,0.7823,5.55,3.6,-2.38
2.159,-0.45,-0.3408,0.851,7.74,21.71,-9.57
2.179,-0.4233,-0.2632,0.7646,0.67,27.13,-11.1
2.199,-0.4173,-0.2813,0.7332,-1.89,21.71,-11.71
2.219,-0.3837,-0.3018,0.7657,17.5,36.04,-11.65
2.239,-0.3549,-0.2567,0.8983,37.38,41.95,1.4
2.259,-0.364,-0.2527,0.9918,34.51,16.83,14.39
2.279,-0.452,-0.216,0.9457,10.43,-5.79,26.71
2.299,-0.5256,-0.187,0.7305,-17.5,-14.76,12.56
2.319,-0.4318,-0.2239,0.6591,-9.76,-16.34,-21.34
2.339,-0.287,-0.2516,0.6274,11.34,-6.04,-32.93
2.359,-0.244,-0.2423,0.7542,21.4,17.44,-20.43
2.379,-0.311,-0.187,0.7474,13.66,20.79,-14.76
2.399,-0.287,-0.2183,0.7028,2.13,14.7,-19.51
2.419,-0.2362,-0.2231,0.674,13.11,28.35,-19.94
2.439,-0.2834,-0.2709,0.7421,29.33,36.04,-11.95
2.459,-0.4171,-0.253,0.8842,35.24,20.73,1.52
2.479,-0.5148,-0.2192,0.7729,17.07,9.7,2.5
2.499,-0.465,-0.1779,0.6721,1.16,-12.01,-22.74
2.519,-0.2365,-0.2298,0.7335,23.54,-21.77,-37.62
2.539,-0.1646,-0.2568,0.7766,29.63,-10.85,-21.4
2.559,-0.2662,-0.1969,0.8577,19.7,14.57,2.87
2.579,-0.3976,-0.1639,0.8601,16.22,16.22,9.15
2.599,-0.5025,-0.1562,0.8686,21.95,8.96,-18.11
2.619,-0.3224,-0.1517,0.936,32.74,1.71,-37.99
2.639,-0.2049,-0.1826,1.004,24.39,-0.49,-32.2
2.659,-0.1516,-0.1677,0.9496,4.51,-16.95,-14.88
2.679,-0.1718,-0.1958,0.9516,-2.74,-20.06,-4.09
2.699,-0.3604,-0.1778,0.7956,-11.83,-23.17,-0.18
2.719,-0.2463,-0.1602,0.8414,-2.87,-26.34,-14.88
2.739,-0.2057,-0.1089,0.884,12.74,-8.96,-16.89
2.759,-0.0792,-0.1085,1.0035,23.35,-3.29,-19.45
2.779,-0.0622,-0.0886,0.9868,10.79,-3.54,-10.85
2.799,-0.1293,-0.1185,0.9483,12.5,-8.54,-16.83
