t_s,bpm_avg,bpm_last,beats,ir,ambient_c,object_c,finger
0.00,0,0,0,119413,22.9,50.5,1
1.00,0,0,0,115086,23.3,48.9,1
2.01,0,0,0,117485,23.7,51.5,1
3.01,0,0,0,121200,24.1,51.0,1
4.01,0,0,0,117406,24.5,49.1,1
5.02,0,0,0,120497,24.8,47.3,1
6.02,0,0,0,118452,25.0,44.8,1
7.03,0,0,0,119264,25.2,45.7,1
8.03,0,0,0,121292,25.4,44.5,1
9.03,0,0,0,119039,25.5,43.9,1
10.04,0,0,0,119017,25.7,43.4,1
11.04,0,3,1,119500,25.8,42.7,1
12.04,46,115,1,120090,25.9,42.2,1
13.05,59,52,1,116343,26.0,41.9,1
14.05,59,52,0,117660,26.0,41.4,1
15.06,59,52,0,119037,26.1,41.1,1
16.06,59,52,0,118930,26.2,40.8,1
17.06,59,15,1,120706,26.3,40.5,1
18.07,59,43,1,120598,26.4,40.3,1
19.07,59,43,0,120014,26.4,40.2,1
20.07,57,103,2,119718,26.5,40.0,1
21.08,59,59,1,120238,26.6,40.0,1
22.08,59,59,0,118789,26.6,39.7,1
23.09,59,59,0,117242,26.7,39.6,1
24.09,59,59,0,114840,26.7,39.1,1
25.09,59,59,0,116239,26.8,38.8,1
26.10,59,59,0,116706,26.9,39.0,1
27.10,59,11,1,117761,26.9,39.1,1
28.11,59,11,0,118044,26.9,39.0,1
29.11,55,25,1,118540,27.0,39.1,1
30.11,55,25,0,117541,27.0,39.2,1
31.12,54,32,1,118346,27.1,39.1,1
32.12,54,32,0,116315,27.2,39.1,1
33.12,35,28,1,117737,27.2,39.1,1
34.13,35,28,0,117809,27.3,39.2,1
35.13,29,34,1,117981,27.3,39.3,1
36.13,37,56,1,118189,27.4,39.5,1
37.14,37,56,0,118167,27.4,39.3,1
38.14,40,43,1,120131,27.4,39.5,1
39.14,40,43,0,119990,27.5,39.8,1
40.15,38,22,1,119748,27.5,39.9,1
41.15,73,157,2,119344,27.6,40.1,1
42.16,106,175,1,120325,27.7,40.2,1
43.16,131,124,2,120095,27.7,40.3,1
44.16,131,124,0,119796,27.8,40.2,1
45.17,99,30,1,119041,27.8,40.3,1
46.17,99,30,0,119733,27.9,40.2,1
47.18,69,85,2,120241,27.9,40.0,1
48.18,51,52,1,119651,27.9,40.3,1
49.18,79,143,1,119647,28.0,40.7,1
50.19,79,143,0,119919,28.0,40.9,1
51.19,75,75,2,119529,28.1,41.1,1
52.20,80,73,1,119490,28.2,41.2,1
53.20,80,73,0,119708,28.2,41.1,1
54.20,80,73,0,119365,28.3,41.1,1
55.21,68,107,2,119916,28.3,41.1,1
56.21,68,73,1,120109,28.3,41.2,1
57.21,69,79,1,119548,28.4,41.4,1
58.22,69,79,0,119678,28.5,41.3,1
59.22,73,38,1,120432,28.5,41.3,1
60.23,73,38,0,120695,28.6,41.5,1
61.23,52,24,1,120462,28.5,41.5,1
62.23,55,85,1,119754,28.6,41.6,1
63.24,55,85,0,121174,28.6,41.6,1
64.24,42,24,1,120492,28.8,41.6,1
65.25,53,83,1,119896,28.8,41.6,1
66.25,65,73,1,120774,28.8,41.6,1
67.25,65,85,1,120355,28.8,41.7,1
68.26,69,38,1,119648,28.9,41.7,1
69.26,64,64,1,119774,28.9,41.6,1
70.26,68,88,1,119468,29.0,41.7,1
71.27,63,68,1,120049,29.0,41.7,1
72.27,64,42,1,119959,29.0,41.8,1
73.28,62,56,1,119867,29.1,41.8,1
74.28,64,93,1,120234,29.1,41.8,1
75.28,67,79,1,118882,29.2,41.9,1
76.29,66,37,1,118959,29.2,41.9,1
77.29,70,73,1,119433,29.3,42.0,1
78.30,68,85,1,118187,29.3,41.8,1
79.30,68,85,0,117134,29.3,41.8,1
80.30,68,85,0,117163,29.3,41.9,1
81.31,68,85,0,119104,29.4,41.9,1
82.31,68,85,0,121205,29.4,42.0,1
83.32,68,85,0,121567,29.4,41.9,1
84.32,68,85,0,121975,29.5,41.8,1
85.32,68,85,0,122014,29.5,41.7,1
86.33,68,7,1,122354,29.5,41.5,1
87.33,59,42,1,122168,29.6,41.5,1
88.33,59,42,0,121536,29.6,41.2,1
89.34,60,44,1,121621,29.6,41.1,1
90.34,56,57,1,121523,29.6,41.0,1
91.35,47,49,1,121525,29.6,41.0,1
92.35,49,47,1,121366,29.6,40.8,1
93.35,51,52,1,121602,29.6,40.8,1
94.36,52,64,1,121164,29.7,40.7,1
95.36,60,81,1,120835,29.7,40.7,1
96.37,60,81,0,120590,29.7,40.7,1
97.37,60,62,2,120861,29.7,40.6,1
98.37,64,79,1,120877,29.7,40.5,1
99.38,64,79,0,119319,29.7,40.4,1
100.38,64,79,0,118803,29.7,40.3,1
101.39,64,79,0,117205,29.7,40.6,1
102.39,64,79,0,118314,29.8,40.8,1
103.39,64,79,0,117901,29.8,40.6,1
104.40,64,11,1,117761,29.8,40.5,1
105.40,56,50,1,117935,29.8,40.5,1
106.41,86,79,2,118573,29.8,40.5,1
107.41,86,79,0,115980,29.8,40.6,1
108.41,86,79,0,117447,29.8,40.6,1
109.42,86,79,0,118051,29.8,40.7,1
110.42,86,15,1,118811,29.8,40.8,1
111.43,83,64,1,117924,29.9,40.9,1
112.43,83,64,0,117288,29.9,40.9,1
113.43,80,39,1,118717,29.9,40.9,1
114.44,80,39,0,117467,29.9,41.0,1
115.44,52,28,1,118075,29.9,41.0,1
116.45,52,28,0,119015,29.9,41.1,1
117.45,52,28,0,118346,29.9,41.1,1
118.45,52,20,1,119040,30.0,41.1,1
119.46,52,20,0,120153,30.0,41.2,1
120.46,52,20,0,118763,30.0,41.3,1
121.46,52,19,1,118302,30.1,41.3,1
122.47,52,19,0,118393,30.0,41.2,1
123.47,51,103,2,118210,30.1,41.2,1
124.48,66,100,1,118307,30.1,41.3,1
125.48,66,100,0,116737,30.1,41.2,1
126.48,65,23,1,116627,30.1,41.2,1
127.49,65,23,0,114971,30.1,41.3,1
128.49,65,23,0,117211,30.1,41.4,1
129.50,65,23,0,116792,30.2,41.6,1
130.50,65,16,1,116386,30.2,41.6,1
131.50,77,83,1,117513,30.2,41.6,1
132.51,61,41,1,118361,30.2,41.7,1
133.51,75,157,1,118381,30.3,41.6,1
134.52,75,157,0,118305,30.3,41.5,1
135.52,83,111,2,118298,30.3,41.4,1
136.52,93,81,1,118348,30.3,41.4,1
137.53,69,62,1,118965,30.3,41.4,1
138.53,69,62,0,118866,30.3,41.4,1
139.54,69,27,1,118971,30.3,41.3,1
140.54,55,52,1,119253,30.3,41.5,1
141.54,55,52,0,118887,30.3,41.4,1
142.55,44,37,1,117713,30.4,41.4,1
143.55,44,37,0,117829,30.4,41.3,1
144.56,61,124,2,118256,30.4,41.3,1
145.56,65,68,1,118007,30.4,41.4,1
146.56,76,81,1,117676,30.4,41.4,1
147.57,77,40,1,118199,30.4,41.4,1
148.57,65,75,1,117800,30.5,41.6,1
149.58,66,71,1,117770,30.5,41.6,1
150.58,66,71,0,116337,30.5,41.6,1
151.58,66,71,0,117436,30.5,41.6,1
152.59,66,71,0,115643,30.5,41.9,1
153.59,66,71,0,115609,30.5,42.0,1
154.60,66,11,1,119505,30.5,41.8,1
155.60,66,11,0,118260,30.5,41.6,1
156.60,66,11,0,114463,30.5,41.7,1
157.61,66,11,0,113822,30.6,41.7,1
158.61,66,11,0,108943,30.6,41.7,1
159.62,66,11,1,109894,30.6,41.4,1
160.62,66,11,0,113722,30.6,41.2,1
161.62,66,11,0,114041,30.6,41.1,1
162.63,52,25,1,117651,30.6,40.9,1
163.63,52,25,0,117751,30.6,40.6,1
164.64,52,25,0,117881,30.6,40.8,1
165.64,52,18,1,118381,30.6,40.6,1
166.64,61,77,1,117448,30.6,40.6,1
167.65,61,77,0,117535,30.6,40.4,1
168.65,61,77,0,126352,30.6,40.4,1
169.66,61,77,0,127591,30.6,41.8,1
170.66,61,77,0,127633,30.6,41.5,1
171.66,61,11,1,127724,30.7,41.3,1
172.67,61,11,0,127711,30.7,40.9,1
173.67,58,83,2,127710,30.7,40.6,1
174.67,64,49,1,127531,30.7,40.5,1
175.68,61,66,1,127409,30.7,40.5,1
176.68,66,66,1,127530,30.7,40.4,1
177.69,59,59,1,127541,30.7,40.3,1
178.69,59,59,0,127849,30.7,40.1,1
179.70,54,27,1,127930,30.7,40.1,1
180.70,54,27,0,128167,30.6,40.1,1
181.70,54,27,0,127627,30.6,40.1,1
182.71,74,186,2,127375,30.7,40.1,1
183.71,74,186,0,127408,30.7,40.1,1
184.72,84,88,2,127813,30.7,40.2,1
185.72,98,81,1,127839,30.7,40.3,1
186.72,66,59,1,127788,30.7,40.5,1
187.73,81,100,1,128115,30.8,40.6,1
188.73,77,73,1,127098,30.7,40.5,1
189.74,64,31,1,127317,30.8,40.5,1
190.74,64,31,0,127516,30.8,40.3,1
191.74,64,31,0,128079,30.8,40.2,1
192.75,64,31,0,128226,30.8,40.2,1
193.75,66,66,2,128238,30.8,40.2,1
194.76,66,66,0,127142,30.8,40.3,1
195.76,66,66,0,127115,30.8,40.2,1
196.76,48,25,1,127914,30.8,40.0,1
197.77,48,25,0,128436,30.8,39.9,1
198.77,36,24,1,128127,30.8,39.6,1
199.77,36,24,0,128096,30.8,39.6,1
200.78,69,199,2,128002,30.8,39.6,1
201.78,82,75,1,128183,30.8,39.7,1
202.79,82,75,0,127130,30.8,39.6,1
203.79,82,28,1,127237,30.8,39.6,1
204.80,82,28,0,127089,30.8,39.6,1
205.80,82,28,0,125586,30.8,39.7,1
206.80,82,28,0,125335,30.8,39.6,1
207.81,82,20,1,123472,30.8,39.7,1
208.81,82,20,0,123155,30.8,39.8,1
