Designator,Mid X,Mid Y,Layer,Rotation
C1,75.700000mm,-135.300000mm,Top,0.000000
C2,63.800000mm,-117.100000mm,Top,0.000000
C3,82.000000mm,-131.600000mm,Top,0.000000
C4,63.800000mm,-109.300000mm,Top,0.000000
C5,82.000000mm,-130.200000mm,Top,0.000000
C6,82.000000mm,-133.000000mm,Top,0.000000
C7,82.000000mm,-126.600000mm,Top,0.000000
C8,82.000000mm,-121.500000mm,Top,0.000000
C9,82.000000mm,-123.300000mm,Top,0.000000
C10,63.800000mm,-113.200000mm,Top,0.000000
C11,82.000000mm,-128.400000mm,Top,0.000000
C12,63.800000mm,-108.000000mm,Top,0.000000
C16,82.000000mm,-124.900000mm,Top,0.000000
C18,67.600000mm,-122.600000mm,Top,0.000000
C19,67.600000mm,-124.000000mm,Top,0.000000
C20,70.500000mm,-143.200000mm,Top,0.000000
D1,65.000000mm,-136.000000mm,Top,0.000000
J1,77.480000mm,-142.350000mm,Top,0.000000
L1,78.000000mm,-124.600000mm,Top,0.000000
Q1,65.000000mm,-132.400000mm,Top,0.000000
R1,79.500000mm,-136.000000mm,Top,0.000000
R2,81.900000mm,-136.000000mm,Top,0.000000
R3,81.000000mm,-115.200000mm,Top,0.000000
R4,81.000000mm,-113.900000mm,Top,0.000000
R5,68.500000mm,-128.000000mm,Top,0.000000
R6,69.500000mm,-132.400000mm,Top,0.000000
R7,63.800000mm,-114.500000mm,Top,0.000000
R8,63.800000mm,-115.800000mm,Top,0.000000
R9,75.000000mm,-121.300000mm,Top,0.000000
R10,75.000000mm,-122.700000mm,Top,0.000000
R11,70.000000mm,-118.400000mm,Top,0.000000
R12,63.800000mm,-111.900000mm,Top,0.000000
R13,63.800000mm,-110.600000mm,Top,0.000000
R14,76.000000mm,-118.400000mm,Top,0.000000
R15,76.000000mm,-119.800000mm,Top,0.000000
R16,73.000000mm,-118.400000mm,Top,0.000000
R17,73.000000mm,-119.800000mm,Top,0.000000
U1,72.000000mm,-111.500000mm,Top,0.000000
U2,72.000000mm,-135.000000mm,Top,0.000000
U3,65.000000mm,-128.500000mm,Top,0.000000
U4,78.000000mm,-128.600000mm,Top,0.000000
U5,78.000000mm,-132.600000mm,Top,0.000000
U6,78.000000mm,-121.800000mm,Top,0.000000
U9,64.000000mm,-123.000000mm,Top,0.000000
U10,70.500000mm,-141.200000mm,Top,0.000000
