Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","LiPo 402030 250mAh","BatteryPads_2x",65.400000,-142.000000,180.000000,top
"C1","4.7uF","C_0603_1608Metric",75.700000,-135.300000,0.000000,top
"C2","100nF","C_0402_1005Metric",63.800000,-117.100000,0.000000,top
"C3","1uF","C_0402_1005Metric",82.000000,-131.600000,0.000000,top
"C4","1uF","C_0402_1005Metric",63.800000,-109.300000,0.000000,top
"C5","1uF","C_0402_1005Metric",82.000000,-130.200000,0.000000,top
"C6","1uF","C_0402_1005Metric",82.000000,-133.000000,0.000000,top
"C7","10uF","C_0603_1608Metric",82.000000,-126.600000,0.000000,top
"C8","10uF","C_0603_1608Metric",82.000000,-121.500000,0.000000,top
"C9","10uF","C_0603_1608Metric",82.000000,-123.300000,0.000000,top
"C10","1uF","C_0402_1005Metric",63.800000,-113.200000,0.000000,top
"C11","10uF","C_0603_1608Metric",82.000000,-128.400000,0.000000,top
"C12","100nF","C_0402_1005Metric",63.800000,-108.000000,0.000000,top
"C16","100nF","C_0402_1005Metric",82.000000,-124.900000,0.000000,top
"C18","100nF","C_0402_1005Metric",67.600000,-122.600000,0.000000,top
"C19","100nF","C_0402_1005Metric",67.600000,-124.000000,0.000000,top
"C20","100nF","C_0402_1005Metric",70.500000,-143.200000,0.000000,top
"D1","SS14","D_SMA",65.000000,-136.000000,0.000000,top
"J1","TYPE-C-31-M-12","USB_C_Receptacle_HRO_TYPE-C-31-M-12",77.480000,-142.350000,0.000000,top
"L1","2.2uH 1.5A","L_MAKK2016T_2.0x1.6mm",78.000000,-124.600000,0.000000,top
"Q1","AO3401A","SOT-23",65.000000,-132.400000,0.000000,top
"R1","5.1k","R_0402_1005Metric",79.500000,-136.000000,0.000000,top
"R2","5.1k","R_0402_1005Metric",81.900000,-136.000000,0.000000,top
"R3","22R","R_0402_1005Metric",81.000000,-115.200000,0.000000,top
"R4","22R","R_0402_1005Metric",81.000000,-113.900000,0.000000,top
"R5","10k","R_0402_1005Metric",68.500000,-128.000000,0.000000,top
"R6","100k","R_0402_1005Metric",69.500000,-132.400000,0.000000,top
"R7","1M","R_0402_1005Metric",63.800000,-114.500000,0.000000,top
"R8","1M","R_0402_1005Metric",63.800000,-115.800000,0.000000,top
"R9","1M","R_0402_1005Metric",75.000000,-121.300000,0.000000,top
"R10","249k","R_0402_1005Metric",75.000000,-122.700000,0.000000,top
"R11","100k","R_0402_1005Metric",70.000000,-118.400000,0.000000,top
"R12","10k","R_0402_1005Metric",63.800000,-111.900000,0.000000,top
"R13","10k","R_0402_1005Metric",63.800000,-110.600000,0.000000,top
"R14","10k","R_0402_1005Metric",76.000000,-118.400000,0.000000,top
"R15","10k","R_0402_1005Metric",76.000000,-119.800000,0.000000,top
"R16","4.7k","R_0402_1005Metric",73.000000,-118.400000,0.000000,top
"R17","4.7k","R_0402_1005Metric",73.000000,-119.800000,0.000000,top
"TP1","GND","TestPoint_Pad_D1.0mm",61.500000,-119.000000,0.000000,top
"TP2","3V3","TestPoint_Pad_D1.0mm",72.800000,-129.200000,0.000000,top
"TP3","1V8","TestPoint_Pad_D1.0mm",72.800000,-131.400000,0.000000,top
"TP4","4V7","TestPoint_Pad_D1.0mm",82.000000,-119.500000,0.000000,top
"TP5","VSYS","TestPoint_Pad_D1.0mm",72.800000,-127.000000,0.000000,top
"TP6","BAT+","TestPoint_Pad_D1.0mm",61.500000,-130.000000,0.000000,top
"TP7","EN","TestPoint_Pad_D1.0mm",61.300000,-112.000000,0.000000,top
"TP8","IO9_BOOT","TestPoint_Pad_D1.0mm",78.800000,-118.400000,0.000000,top
"TP9","USB_DM","TestPoint_Pad_D1.0mm",81.500000,-110.000000,0.000000,top
"TP10","USB_DP","TestPoint_Pad_D1.0mm",81.500000,-107.500000,0.000000,top
"TP11","SDA","TestPoint_Pad_D1.0mm",67.500000,-118.400000,0.000000,top
"TP12","SCL","TestPoint_Pad_D1.0mm",67.500000,-120.800000,0.000000,top
"U1","ESP32-C3-MINI-1-N4","ESP32-C3-MINI-1",72.000000,-111.500000,0.000000,top
"U2","USBLC6-2SC6","SOT-23-6",72.000000,-135.000000,0.000000,top
"U3","TP4054-42-SOT25R","SOT-23-5",65.000000,-128.500000,0.000000,top
"U4","ME6211C33M5G-N","SOT-23-5",78.000000,-128.600000,0.000000,top
"U5","XC6206P182MR","SOT-23",78.000000,-132.600000,0.000000,top
"U6","TPS61099DRVR","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",78.000000,-121.800000,0.000000,top
"U9","LSM6DS3TR-C","LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y",64.000000,-123.000000,0.000000,top
"U10","SHT40-AD1B-R3","Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad",70.500000,-141.200000,0.000000,top
